utc_time,symbol,side,price,qty,usd,rsi,pnl_usd
2024-06-03 15:25,LINK-USD,BUY,17.974922000000003,139.08266194423538,2500.0,34.71675255076242,
2024-06-03 20:00,LINK-USD,SELL,17.711432850723913,139.08266194423538,2463.3532277252593,61.571297822717646,-36.6467722747406
2024-06-03 20:30,DOGE-USD,BUY,0.15995958000000002,15514.398161476978,2481.67661386263,36.10720317459678,
2024-06-04 01:30,DOGE-USD,SELL,0.15910134797803296,15514.398161476978,2468.3616605589036,67.10217823841752,-13.314953303726327
2024-06-04 02:40,BCH-USD,BUY,463.29390000000006,5.342222587456399,2475.0191372107665,35.40389018588594,
2024-06-04 07:20,BCH-USD,SELL,467.69845232151766,5.342222587456399,2498.549236110411,90.63710071561279,23.530098899644834
2024-06-04 07:45,SOL-USD,BUY,165.64810000000003,15.01245222046367,2486.7841866605886,36.99585065449827,
2024-06-04 10:25,SOL-USD,SELL,165.18222666000997,15.01245222046367,2479.7902854032,60.856051252639915,-6.993901257388514
2024-06-04 11:35,BCH-USD,BUY,466.59885,5.322103207137982,2483.2872360318943,34.87873965333495,
2024-06-04 13:50,BCH-USD,SELL,468.8966550174738,5.322103207137982,2495.516391484769,69.89839711673415,12.229155452874862
2024-06-04 14:15,LINK-USD,BUY,17.733560500000003,140.37800326439415,2489.4018137583316,35.689953377328166,
2024-06-04 15:20,LINK-USD,SELL,17.761357963055417,140.37800326439415,2493.3039661178664,65.40740265393714,3.902152359534794
2024-06-04 17:30,XRP-USD,BUY,0.5273899,4723.929847610088,2491.352889938099,33.788882341957574,
2024-06-04 19:55,XRP-USD,SELL,0.5268097853220169,4723.929847610088,2488.6124688957384,64.71127343319654,-2.7404210423607194
2024-06-04 20:05,AVAX-USD,BUY,35.643385,69.85819891732837,2489.9826794169185,34.88487441546502,
2024-06-04 21:35,AVAX-USD,SELL,35.766350474288565,69.85819891732837,2498.5728259797324,60.48510776634319,8.59014656281405
2024-06-04 21:40,LINK-USD,BUY,17.655443500000004,141.27528162622053,2494.2777526983255,36.13205820348484,
2024-06-04 22:25,LINK-USD,SELL,17.67948077883175,141.27528162622053,2497.673626034808,62.415824841519125,3.3958733364827802
2024-06-04 23:00,DOT-USD,BUY,7.1907700000000006,347.108263700072,2495.9756893665667,31.634905136264848,
2024-06-04 23:50,DOT-USD,SELL,7.186220668996505,347.108263700072,2494.3965789809463,60.3726700166833,-1.579110385620277
2024-06-05 00:15,BCH-USD,BUY,472.20725000000004,5.284091115021543,2495.1861341737567,28.61192392773681,
2024-06-05 01:35,BCH-USD,SELL,480.37943085371944,5.284091115021543,2538.368682413244,64.35418253534485,43.18254823948783
2024-06-05 02:10,ETH-USD,BUY,3811.7190150000006,0.6602735926728586,2516.7774082935002,35.39174994331714,
2024-06-05 06:40,ETH-USD,SELL,3799.940089865202,0.6602735926728586,2509.000095076922,61.237568732520785,-7.777313216578077
2024-06-05 07:50,LTC-USD,BUY,83.90567,29.94897426699782,2512.888751685211,25.41279245711152,
2024-06-05 09:05,LTC-USD,SELL,84.03394907638541,29.94897426699782,2516.730578442872,63.44804233460905,3.841826757660919
2024-06-05 09:20,UNI-USD,BUY,11.212794,224.28037695725448,2514.8096650640414,31.820099230315478,
2024-06-05 12:45,UNI-USD,SELL,11.252121817274089,224.28037695725448,2523.63012274718,64.175233539159,8.820457683138597
2024-06-05 13:00,LINK-USD,BUY,17.814682,141.41256598942437,2519.2198939056107,33.71664627980536,
2024-06-05 15:35,LINK-USD,SELL,17.738392411382925,141.41256598942437,2508.4315874209924,61.278995916693475,-10.788306484618301
2024-06-05 16:45,ETH-USD,BUY,3803.8572400000003,0.660862272702774,2513.8257406633015,35.973861472164955,
2024-06-05 17:05,ETH-USD,SELL,3812.8507239141286,0.660862272702774,2519.769194882308,60.18282094544904,5.94345421900668
2024-06-05 17:25,XRP-USD,BUY,0.5291926,4755.919617494283,2516.797467772805,33.1432433093714,
